address,longitude,latitude,x,y
김해시 장유2동,128.797786111111,35.1970916666667,93,76
김해시 장유3동,128.811325,35.1755333333333,93,76
밀양시 ,128.748944444444,35.5007777777777,92,83
밀양시 삼랑진읍,128.84,35.3927277777777,93,80
밀양시 하남읍,128.713288888888,35.3724361111111,91,80
밀양시 부북면,128.732108333333,35.5082222222222,91,83
밀양시 상동면,128.765544444444,35.5497833333333,92,84
밀양시 산외면,128.817097222222,35.4995805555555,93,83
밀양시 산내면,128.883111111111,35.5812166666666,94,84
밀양시 단장면,128.878288888888,35.5121833333333,94,83
밀양시 상남면,128.755841666666,35.4452694444444,92,81
밀양시 초동면,128.675152777777,35.4186083333333,91,81
밀양시 무안면,128.653741666666,35.4676305555555,90,82
밀양시 청도면,128.626697222222,35.5458388888888,90,83
밀양시 내일동,128.756355555555,35.4912805555555,92,82
밀양시 내이동,128.748486111111,35.4939888888888,92,82
밀양시 삼문동,128.755277777777,35.479975,92,82
밀양시 가곡동,128.766777777777,35.4756861111111,92,82
밀양시 교동,128.759386111111,35.5079444444444,92,83
거제시 ,128.623355555555,34.8773583333333,90,69
거제시 일운면,128.705333333333,34.8265333333333,92,68
거제시 동부면,128.610375,34.8184083333333,90,68
거제시 남부면,128.612333333333,34.7290416666666,90,66
거제시 거제면,128.592611111111,34.8478833333333,89,68
거제시 둔덕면,128.507311111111,34.8336388888888,88,68
거제시 사등면,128.524475,34.9158083333333,88,70
거제시 연초면,128.658775,34.91145,91,70
거제시 하청면,128.657577777777,34.9522055555555,91,71
거제시 장목면,128.684575,34.9835111111111,91,71
거제시 장승포동,128.7294,34.86425,92,69
거제시 능포동,128.736911111111,34.8761166666666,92,69
거제시 아주동,128.694363888888,34.8629388888888,91,69
거제시 옥포1동,128.694886111111,34.8878611111111,91,69
거제시 옥포2동,128.690555555555,34.8934777777777,91,69
거제시 장평동,128.6094674,34.8895579,90,69
거제시 고현동,128.623325,34.882599,90,69
거제시 상문동,128.6379441,34.8680902,90,69
거제시 수양동,128.6462865,34.887941,91,69
양산시 ,129.039411111111,35.3319277777777,97,79
양산시 물금읍,128.990644444444,35.3080388888888,96,78
양산시 동면,129.064141666666,35.3204472222222,98,79
양산시 원동면,128.921066666666,35.3616277777777,95,80
양산시 상북면,129.066666666666,35.4153138888888,97,81
양산시 하북면,129.089222222222,35.4862333333333,98,82
양산시 중앙동,129.043252777777,35.3427361111111,97,79
양산시 양주동,129.0322113,35.3364654,97,79
양산시 삼성동,129.042955555555,35.3497583333333,97,79
양산시 강서동,129.028422222222,35.3420972222222,97,79
양산시 서창동,129.175422222222,35.4132166666666,99,81
양산시 소주동,129.1562,35.4165805555555,99,81
양산시 평산동,129.150955555555,35.3802611111111,99,80
양산시 덕계동,129.152263888888,35.3704222222222,99,80
의령군 ,128.263822222222,35.3191194444444,83,78
의령군 의령읍,128.262719444444,35.318,83,78
의령군 가례면,128.247466666666,35.3236472222222,83,78
의령군 칠곡면,128.194777777777,35.3383333333333,82,79
의령군 대의면,128.110455555555,35.3688277777777,81,79
의령군 화정면,128.213011111111,35.2746444444444,82,77
의령군 용덕면,128.292819444444,35.3450833333333,84,79
의령군 정곡면,128.328552777777,35.3775,84,80
의령군 지정면,128.388266666666,35.379475,85,80
의령군 낙서면,128.379433333333,35.481125,85,82
의령군 부림면,128.326777777777,35.4634166666666,84,81
의령군 봉수면,128.268388888888,35.4692277777777,83,82
의령군 궁류면,128.251141666666,35.4443055555555,83,81
의령군 유곡면,128.315841666666,35.4302,84,81
함안군 ,128.408708333333,35.2694055555555,86,77
함안군 가야읍,128.410441666666,35.2691499999999,86,77
함안군 칠원읍,128.518563888889,35.3088027777778,88,78
함안군 함안면,128.425922222222,35.2390361111111,86,77
함안군 군북면,128.347230555555,35.2586083333333,85,77
함안군 법수면,128.357597222222,35.3124527777777,85,78
함안군 대산면,128.433708333333,35.3471194444444,86,79
함안군 칠서면,128.500286111111,35.3303611111111,87,79
함안군 칠북면,128.523855555555,35.3435472222222,88,79
